model,genre,midiset,audioset,piece_id,p_frame,r_frame,f_frame,p_note_on,r_note_on,f_note_on,p_note_on_off,r_note_on_off,f_note_on_off,p_note_on_vel,r_note_on_vel,f_note_on_vel,p_note_on_off_vel,r_note_on_off_vel,f_note_on_off_vel
OaF,Jazz,genre,disklavier,Jazz_03,0.8449593832349674,0.7988551897378878,0.8212607425595867,0.9511614055985704,0.8356881214024071,0.8896935933147632,0.795116140559857,0.6985871271585558,0.7437325905292478,0.7748659916617034,0.6807953950811093,0.7247910863509749,0.6605122096486004,0.5803244374672946,0.6178272980501393
OaF,Jazz,genre,disklavier,Jazz_04,0.8622874349468261,0.7996933010492333,0.8298116462735443,0.9821348816435908,0.8566419945461629,0.9151061173533084,0.8200089325591782,0.7152317880794702,0.7640449438202247,0.9004019651630192,0.7853525516166732,0.8389513108614232,0.757034390352836,0.6603038566419945,0.7053682896379526
OaF,Jazz,genre,disklavier,Jazz_05,0.9298116817388016,0.7429914848985831,0.8259694575780482,0.9536981358989778,0.8559093362115489,0.9021615472127418,0.6289837642814191,0.5644900161899622,0.5949943117178612,0.7841250751653638,0.7037236913113869,0.7417519908987485,0.5171377029464823,0.464112250404749,0.4891922639362913
OaF,Jazz,genre,disklavier,Jazz_06,0.8417488274145688,0.8077294020391292,0.8243883003656135,0.9591057797164668,0.8392175572519084,0.8951653944020357,0.7780806979280261,0.6808206106870229,0.7262086513994911,0.7709923664122137,0.674618320610687,0.7195928753180663,0.6297709923664122,0.5510496183206107,0.5877862595419847
OaF,Jazz,genre,disklavier,Jazz_07,0.8844374285558761,0.7590158829025225,0.8169408294436576,0.955758426966292,0.8432465923172243,0.8959842001316657,0.7212078651685393,0.6363073110285006,0.6761026991441738,0.6811797752808989,0.6009913258983891,0.6385780118499013,0.5308988764044944,0.4684014869888476,0.4976958525345622
OaF,Jazz,genre,disklavier,Jazz_08,0.9516739373672102,0.7332403452183768,0.8282981912879824,0.9155080213903743,0.872579001019368,0.8935281837160751,0.6106951871657754,0.582059123343527,0.5960334029227558,0.6973262032085561,0.6646279306829765,0.6805845511482254,0.4770053475935829,0.454638124362895,0.4655532359081419
OaF,Jazz,genre,disklavier,Jazz_09,0.8461105482382079,0.6681185830481354,0.7466534210853097,0.983010533469249,0.9714573539288112,0.9771997973315316,0.6156982670744139,0.6084620550705171,0.6120587738557676,0.6221542643560992,0.6148421759570182,0.6184766086809661,0.3856608902480462,0.3811282740094023,0.3833811856105388
OaF,Jazz,genre,disklavier,Jazz_10,0.9168090693118828,0.7629281940414119,0.8328201115626341,0.9724409448818898,0.861484803188839,0.9136063408190224,0.7699662542182227,0.682112605879422,0.7233817701453104,0.8470191226096738,0.750373692077728,0.795772787318362,0.6732283464566929,0.5964125560538116,0.6324966974900925
OaF,Latin,genre,disklavier,Latin_01,0.9405985919849548,0.6264379181911072,0.7520266694364894,0.9797441364605544,0.8331822302810517,0.9005389514943655,0.6066098081023454,0.5158658204895739,0.5575698187163155,0.4829424307036247,0.4106980961015412,0.4439000489955904,0.3059701492537313,0.2601994560290118,0.2812346888780009
OaF,Latin,genre,disklavier,Latin_02,0.9261752446336624,0.9696396900961448,0.9474092230519296,0.986,0.90625,0.9444444444444444,0.904,0.8308823529411765,0.8659003831417624,0.656,0.6029411764705882,0.6283524904214559,0.6,0.5514705882352942,0.574712643678161
OaF,Latin,genre,disklavier,Latin_03,0.94125445955067,0.900956402358126,0.9206646742942698,0.9716840536512668,0.8968363136176066,0.9327610872675252,0.8286140089418778,0.7647867950481431,0.7954220314735336,0.3248882265275707,0.2998624484181568,0.3118741058655221,0.2906110283159464,0.2682255845942228,0.2789699570815451
OaF,Latin,genre,disklavier,Latin_04,0.8937111628939192,0.9118221442318578,0.902675819557299,0.9656283566058004,0.9771739130434782,0.971366828741221,0.7508055853920516,0.7597826086956522,0.7552674230145867,0.765843179377014,0.775,0.7703943814154511,0.5972073039742213,0.6043478260869565,0.6007563479200432
