model,genre,midiset,audioset,piece_id,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_ioi_corr,acc_ioi_corr,cloud_diameter_corr,cloud_momentum_corr,tensile_strain_corr,dyn_corr
Kong,Classical,genre,disklavier,Classical_02,0.1473469017429662,0.2566757476268375,0.3014870495648052,0.2295124576172517,-0.0658269476849034,0.8182278547566854,0.2591535117520896,0.6015668412373409,0.3381281193915572
Kong,Classical,genre,disklavier,Classical_03,0.8677299649149912,0.9521789541704436,0.4172730031644497,0.2540787420533638,0.175317070364651,0.7422755842683821,0.3424665617735868,0.443809594360058,0.1478404263730773
Kong,Classical,genre,disklavier,Classical_04,0.2879514375648141,0.7305649721562311,0.3045669104105131,0.2127072636010444,0.4552718916004408,0.7290151667560838,0.1378365924977385,0.3353560476660444,0.4983712965210558
Kong,Classical,genre,disklavier,Classical_05,0.4789421395656653,0.3620829673305268,0.476578381893818,0.4884068931800296,0.4263164631393549,0.5955613317288766,0.3134275023168812,0.8402285695560501,0.8565470304557629
Kong,Classical,genre,disklavier,Classical_06,0.3852713461551721,0.1362804835276449,0.1985597206030979,0.1837635669742191,0.2785308779749952,0.5472699753852854,0.1132505882873356,0.4754889939365704,0.0585703359954258
Kong,Classical,genre,disklavier,Classical_07,0.4834087314053973,0.1738334742226589,0.3712350644190116,0.0987546184847341,0.7155355341370607,0.6491315332188274,0.1596529284745211,0.464521983736607,0.9532427803365608
Kong,Classical,genre,disklavier,Classical_08,0.1400345270714049,0.282642785470885,0.1243983511150157,0.4405655061792085,-0.0915495155642027,0.9582965648804056,0.6436938282328615,0.99295225301772,0.2378490511906811
Kong,Classical,genre,disklavier,Classical_09,0.2602135865670345,0.3135682930866624,0.3238531188948205,0.3415346889381495,-0.0825467731427764,0.8156610343879618,0.1254008625117497,0.3880998523135805,0.3052184506156772
Kong,Classical,genre,disklavier,Classical_10,0.5482640633833444,0.2376075203747226,0.5892372164546006,0.3396958120531547,-0.1067677370924219,0.8350801366452215,0.3492900197692482,0.6591661477662798,0.3969356550589598
Kong,Country,genre,disklavier,Country_01,0.3193932284325113,0.3173403042566793,0.4840497146344073,0.653702519868056,0.3006512464155031,0.8559862227297133,0.3000908720192465,0.6842242162990145,0.5855706978576576
Kong,Country,genre,disklavier,Country_02,0.5608245610849603,0.3947023733021174,0.4316987101390375,0.3297715723445129,0.6901982711860262,0.7677382002978972,0.2293654646339088,0.2552064693012066,0.131387705179103
Kong,Country,genre,disklavier,Country_03,0.2664935295653827,0.2166629971510002,0.2497493083075382,0.5278363988496474,0.463871701841975,0.7367976970509581,0.2159399406996263,0.5696743992816419,0.2372341740776725
