model,polyphony,dynamics,midiset,audioset,piece_id,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_ioi_corr,acc_ioi_corr,cloud_diameter_corr,cloud_momentum_corr,tensile_strain_corr,dyn_corr
Kong,4,1,random,disklavier,RANDOM_P04_D1,0.0660583757079413,0.1773839109006005,0.2176326164905316,0.0577137357723776,-0.0658813828782808,0.1535191190166289,0.1546377502829856,0.4999487701822293,0.4243048858773878
Kong,4,2,random,disklavier,RANDOM_P04_D2,0.0463499224808824,0.3920655235031062,0.0570804992117751,0.1023745865723666,0.0492636152486776,0.227865602939703,0.1276880374222388,0.2430825423141258,0.3099914605389388
Kong,5,0,random,disklavier,RANDOM_P05_D0,0.126491294021959,0.0316107144251699,0.1539901615747378,0.0192780427196622,0.0962973312939113,0.2260663029169876,0.1169725260472984,0.6532875973937114,0.1896476747821525
Kong,5,1,random,disklavier,RANDOM_P05_D1,-0.0067318425775146,0.2375039477033927,0.0869993703400343,-0.1628722556464721,-0.0316944096409942,-0.0613715363057955,0.1400802035255678,-0.0581361517949002,0.6873663243631207
Kong,5,2,random,disklavier,RANDOM_P05_D2,0.2895937679669577,0.2249700427396111,0.2720722653704535,-0.0143232129837705,0.050863848566929,0.4942925316061256,0.1512347188470265,0.6652660392253602,0.0807240710556798
Kong,6,0,random,disklavier,RANDOM_P06_D0,0.0728827115067189,0.1604426834896966,0.1073535428690019,0.0793156708644895,0.0588516535978926,-0.0155196301476118,0.1043044324597298,0.3447726902603868,0.4028512317526796
Kong,6,1,random,disklavier,RANDOM_P06_D1,-0.0075918240978028,0.1459473745130439,0.0818548974724473,0.0976194828568764,-0.0035898193531467,-0.0549509134511259,0.1570902356303188,-0.0524389285773824,0.4594566100902877
Kong,6,2,random,disklavier,RANDOM_P06_D2,0.1709683480465735,0.1275621417446569,0.0369436994739347,-0.0608327989914056,0.1197075113810535,0.1068330667308378,0.1361335460247557,0.5018020435865685,0.2100163086297928
Kong,7,0,random,disklavier,RANDOM_P07_D0,0.0407405997547804,0.1048771305459625,0.1208848994974231,0.0474340115789764,0.1262715174073637,-0.0591689642064199,0.1322057734436015,-0.2997972233809634,0.4883841862727013
Kong,7,1,random,disklavier,RANDOM_P07_D1,0.0515926417837607,0.026141607334572,0.08175567127449,-0.0123188975275767,0.014514260611001,0.0416274420392155,0.1522982744115538,0.0737870409774508,0.4628831338573242
Kong,7,2,random,disklavier,RANDOM_P07_D2,0.2245207017493796,0.1479550587634565,0.1881775087191727,0.053617856617833,0.1420711439456902,0.0765405843509376,0.0578613256394036,0.4366481919920096,0.2587914587951291
Kong,8,0,random,disklavier,RANDOM_P08_D0,0.0752472410861078,0.1840004753236275,0.118754696691425,-0.0217947138561146,0.1649941537299069,0.0407759645451234,0.1558726787849147,-0.3662941284113977,0.2075162359743326
Kong,8,1,random,disklavier,RANDOM_P08_D1,0.0894132889633653,0.0775038523643177,0.1085523472697176,0.0022802891107486,0.1007271582659054,0.0578849550638131,0.1348836590304525,-0.4961909449137369,0.298796479071312
Kong,8,2,random,disklavier,RANDOM_P08_D2,0.1680230133658765,0.0782319445670721,0.1524460593003099,-0.1077431043618124,0.1420150875019756,0.0104569524669413,0.1445847024189883,0.4998810438602214,0.3127436561911024
Kong,9,0,random,disklavier,RANDOM_P09_D0,0.0665807820546322,0.1642267242108948,0.1077971585875523,0.0938044121979032,0.1358838653044882,-0.0651321051562575,0.1332836124102878,-0.3566494832846626,0.4490816682908949
Kong,9,1,random,disklavier,RANDOM_P09_D1,0.1022109426701513,0.0586899312870941,0.0507940450002568,0.1110835221889703,0.1187116728233928,-0.0249640333614738,0.1081264129058156,-0.1783703692628256,0.303609281931242
Kong,9,2,random,disklavier,RANDOM_P09_D2,0.2181379226795178,0.1108385137547537,0.1851806217506001,0.0686938354695893,0.1834831698730086,0.0716211953320974,0.1957558834453153,0.3462166903682013,0.3499176856760109
Kong,10,0,random,disklavier,RANDOM_P10_D0,0.0798733385219564,0.1814996373404813,0.0471229374758565,0.0985213287264361,0.1034190440849455,-0.0894199816921025,0.1062299964207023,-0.2984800196781858,-0.0360226546345463
Kong,10,1,random,disklavier,RANDOM_P10_D1,0.0899089439760936,0.1042010361584278,0.0468739614692026,0.1666511176278039,0.1538332961350327,-0.0471057658280392,0.1362616831581374,-0.2223820155020115,0.3044790803884891
Kong,10,2,random,disklavier,RANDOM_P10_D2,0.1160127543882831,0.2536557082315864,0.0433850827847065,0.0406718232679094,0.193639146343276,-0.0697634453503382,0.1844115803083051,0.3160544158918877,0.3025991840938393
Kong,11,0,random,disklavier,RANDOM_P11_D0,0.0971501518882602,0.1872405668623568,0.0899166335416453,0.0565651682318469,0.0845098658909237,-0.0897534415881947,0.1293670847210013,-0.3097798624207453,0.1051744058405683
Kong,11,1,random,disklavier,RANDOM_P11_D1,0.056278466476198,0.0980774583036076,0.0539770426627373,0.1470389439443079,0.1423896134307927,-0.0806744529688339,0.1635192404684715,-0.1601457507047116,0.310212279901269
Kong,11,2,random,disklavier,RANDOM_P11_D2,0.1818584611486579,0.1451395433425739,0.052022411780611,-0.0743414460393428,0.1604821602283582,0.0313897413078764,0.1296877975374368,-0.0376708976354534,0.3062127764326587
Kong,12,0,random,disklavier,RANDOM_P12_D0,0.0676928110723297,0.112736306705279,0.089139290716977,0.1151375860635616,0.0750072691457502,0.1052297852705598,0.1745609067741518,0.3232183471941119,0.5234276647589566
Kong,12,1,random,disklavier,RANDOM_P12_D1,0.08151217882646,0.0036106261397529,0.0926791317139511,0.2469816083295637,0.1237814940126051,0.0390802726543962,0.1149539576598762,-0.5229132134503426,0.2191270342771564
Kong,12,2,random,disklavier,RANDOM_P12_D2,0.1561937969890655,0.0658971981651999,0.0505795721087332,0.0576398222502111,0.1076040932118294,0.0297717351028905,0.1545159907037706,-0.0150253926083807,0.1493968516478377
